epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.921,1.16645,1.15155,1.37299,0.80227,0.78524,0.84585,0.51245,1.23349,0.95943,1.40982,0.000662768,0.000662768,0.000662768
2,148.874,1.21746,0.98673,1.38941,0.84496,0.82093,0.89708,0.56501,1.16988,0.91919,1.3449,0.00131627,0.00131627,0.00131627
3,181.22,1.22524,0.98158,1.38542,0.82268,0.78742,0.87159,0.535,1.25054,0.90472,1.38254,0.00195658,0.00195658,0.00195658
4,213.348,1.18038,0.9302,1.36846,0.86274,0.83411,0.89998,0.57706,1.1481,0.7752,1.30119,0.0019406,0.0019406,0.0019406
5,245.617,1.15386,0.88508,1.34509,0.84982,0.85325,0.90287,0.5677,1.12177,0.85648,1.27235,0.0019208,0.0019208,0.0019208
6,277.58,1.13178,0.85708,1.32766,0.87408,0.91237,0.9267,0.60889,1.07052,0.68693,1.24621,0.001901,0.001901,0.001901
7,309.887,1.09988,0.82068,1.31884,0.87196,0.86898,0.92881,0.62952,1.06811,0.72031,1.23037,0.0018812,0.0018812,0.0018812
8,342.054,1.06989,0.80299,1.29858,0.87292,0.84475,0.92415,0.62889,1.03329,0.68172,1.19847,0.0018614,0.0018614,0.0018614
9,374.157,1.05792,0.78653,1.28742,0.89639,0.87216,0.94336,0.66015,1.00288,0.63684,1.19042,0.0018416,0.0018416,0.0018416
10,406.354,1.04121,0.75821,1.2819,0.88187,0.84468,0.92318,0.64535,1.00045,0.68641,1.19326,0.0018218,0.0018218,0.0018218
11,438.404,1.03932,0.75854,1.27878,0.89762,0.89196,0.93963,0.66018,1.01637,0.60455,1.22098,0.001802,0.001802,0.001802
12,470.25,1.01386,0.74342,1.2682,0.90483,0.90259,0.9517,0.6864,0.94423,0.57752,1.16891,0.0017822,0.0017822,0.0017822
13,502.417,0.99845,0.72752,1.25611,0.90515,0.92088,0.95688,0.68334,0.95806,0.55504,1.16337,0.0017624,0.0017624,0.0017624
14,534.317,0.99498,0.72131,1.24807,0.90523,0.90855,0.9519,0.69058,0.96307,0.576,1.16312,0.0017426,0.0017426,0.0017426
15,566.346,0.98675,0.71609,1.24856,0.88286,0.90983,0.94423,0.66783,0.9607,0.58934,1.17772,0.0017228,0.0017228,0.0017228
